Age Group,Annual Income,Education,Occupation,Leisure Travel Frequency,Business Travel Frequency,Preferred Hotel Type,Advance Booking Days,Stay Length (Nights),ADR Budget,Booking Priority,Use Price Comparison,Trust AI,Price Prediction Importance,Desired Features,Platforms Used,Booking Challenges,Booking Device,Subscription Willingness,Use Bundle Feature,Pay More for Sustainability,Refer Platform,Booking Motivation 1,Booking Motivation 2,Delayed Booking for Drop,Additional Features
25–34,212274,Bachelor’s Degree,Other,Monthly or more,Weekly,City Hotel,1–3 days,2,<2000,Best amenities,Rarely,Maybe,Not Important,"Targeted discount alerts, Hotel comparison engine, Real-time price predictions","Goibibo, Airbnb","Poor UI/UX, Lack of transparent pricing",Desktop Website,Depends on the savings,Never,Only if price difference is small,Maybe,Location,Brand name,Yes,
35–44,2197031,High School,Other,Once a year,Weekly,Resort Hotel,Same day,More than 10,4000–7000,Balanced,Never,Maybe,Neutral,"Real-time price predictions, Customer reviews","Booking.com, Airbnb, Agoda, Goibibo","Booking too late, Prices fluctuate too much, Lack of transparent pricing",Desktop Website,₹99,Unsure,No,Absolutely,Reviews,Location,No,AI chatbot
25–34,1008821,Bachelor’s Degree,Retired,Every quarter,Weekly,City Hotel,4–7 days,2,2000–4000,Lowest price,Sometimes,Maybe,Not Important,"Personalized stay duration suggestions, Hotel comparison engine, Real-time price predictions, Customer reviews",Others,"Prices fluctuate too much, Lack of transparent pricing, Booking too late",Desktop Website,₹199,Probably Not,Only if price difference is small,Not Likely,Location,Price,Yes,
35–44,288674,Master’s Degree,Working Professional,Rarely,Occasionally,No Preference,8–14 days,2,4000–7000,Best amenities,Rarely,No,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions","Others, OYO, Goibibo",Poor UI/UX,Mobile App,₹0,Never,"Yes, definitely",Not Likely,Location,Location,Yes,Loyalty rewards
25–34,333417,Master’s Degree,Other,Every quarter,Monthly,City Hotel,Same day,3–5,4000–7000,Best amenities,Rarely,Yes,Not Important,"Hotel comparison engine, Real-time price predictions","Goibibo, MakeMyTrip","Hidden charges, Lack of transparent pricing",Mobile App,₹99,Probably,No,Absolutely,Reviews,Brand name,Yes,AI chatbot
55+,1154814,Master’s Degree,Working Professional,Once a year,Occasionally,Resort Hotel,Same day,1,2000–4000,Lowest price,Never,Maybe,Not Important,"Personalized stay duration suggestions, Targeted discount alerts","OYO, MakeMyTrip, Agoda, Booking.com","Booking too late, Prices fluctuate too much, Lack of transparent pricing",Travel Agent,₹299+,Probably,Only if price difference is small,Absolutely,Amenities,Reviews,No,Late check-out
18–24,162053,Master’s Degree,Working Professional,2–3 times a year,Weekly,No Preference,Same day,6–10,7000–10000,Best amenities,Rarely,Yes,Neutral,"Real-time price predictions, Customer reviews, Personalized stay duration suggestions","Others, Booking.com","Booking too late, Prices fluctuate too much, Hidden charges",Travel Agent,₹299+,Probably Not,"Yes, definitely",Maybe,Reviews,Brand name,No,Late check-out
25–34,1217277,Bachelor’s Degree,Freelancer,Rarely,1–2 times a quarter,No Preference,Same day,1,<2000,Balanced,Never,Yes,Not Important,"Customer reviews, Personalized stay duration suggestions, Targeted discount alerts, Hotel comparison engine","MakeMyTrip, OYO, Others",Lack of transparent pricing,Mobile App,₹299+,Definitely,Only if price difference is small,Absolutely,Amenities,Reviews,No,Loyalty rewards
18–24,487710,Bachelor’s Degree,Other,Rarely,Never,No Preference,4–7 days,6–10,4000–7000,Balanced,Always,Yes,Not Important,"Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts, Hotel comparison engine","Agoda, Others, MakeMyTrip, OYO","Prices fluctuate too much, Lack of transparent pricing, Limited deals",Travel Agent,₹199,Definitely,Only if price difference is small,Not Likely,Location,Brand name,No,Loyalty rewards
55+,660465,Bachelor’s Degree,Other,2–3 times a year,Weekly,No Preference,15+ days,6–10,<2000,Best amenities,Never,Yes,Not Important,"Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts, Customer reviews",Booking.com,Hidden charges,Mobile App,₹299+,Probably Not,Only if price difference is small,Absolutely,Amenities,Amenities,No,Loyalty rewards
45–54,629082,Bachelor’s Degree,Freelancer,Every quarter,1–2 times a quarter,City Hotel,15+ days,3–5,7000–10000,Lowest price,Rarely,Yes,Extremely Important,"Targeted discount alerts, Customer reviews, Real-time price predictions","Others, Goibibo",Lack of transparent pricing,Desktop Website,Depends on the savings,Definitely,Only if price difference is small,Maybe,Amenities,Location,Yes,
25–34,99032,Bachelor’s Degree,Retired,Monthly or more,Monthly,Resort Hotel,Same day,3–5,<2000,Balanced,Rarely,Yes,Extremely Important,"Real-time price predictions, Hotel comparison engine, Customer reviews","Others, Goibibo, Agoda, MakeMyTrip","Poor UI/UX, Prices fluctuate too much",Mobile App,₹299+,Definitely,"Yes, definitely",Absolutely,Amenities,Location,No,
35–44,1777088,Bachelor’s Degree,Freelancer,Every quarter,Weekly,City Hotel,4–7 days,3–5,<2000,Lowest price,Sometimes,Yes,Somewhat Important,"Targeted discount alerts, Real-time price predictions, Customer reviews, Hotel comparison engine","OYO, Airbnb, Agoda",Hidden charges,Mobile App,₹99,Probably,Only if price difference is small,Not Likely,Brand name,Price,Yes,
45–54,963394,Bachelor’s Degree,Other,Once a year,1–2 times a quarter,City Hotel,4–7 days,3–5,2000–4000,Balanced,Sometimes,Maybe,Extremely Important,"Customer reviews, Targeted discount alerts, Hotel comparison engine","Others, Booking.com, OYO, Agoda","Booking too late, Poor UI/UX",Travel Agent,₹299+,Definitely,No,Absolutely,Brand name,Amenities,Yes,AI chatbot
35–44,141998,Bachelor’s Degree,Other,Monthly or more,Weekly,No Preference,Same day,3–5,2000–4000,Balanced,Sometimes,Yes,Extremely Important,"Hotel comparison engine, Targeted discount alerts, Customer reviews, Personalized stay duration suggestions","Agoda, MakeMyTrip, OYO",Limited deals,Mobile App,Depends on the savings,Definitely,No,Absolutely,Location,Price,Yes,Loyalty rewards
35–44,294668,Master’s Degree,Retired,Every quarter,Occasionally,Resort Hotel,1–3 days,1,2000–4000,Best amenities,Sometimes,Maybe,Somewhat Important,"Real-time price predictions, Hotel comparison engine, Targeted discount alerts, Personalized stay duration suggestions","Airbnb, Agoda, Goibibo, Booking.com",Hidden charges,Desktop Website,₹299+,Probably Not,Only if price difference is small,Absolutely,Reviews,Location,Yes,
25–34,222544,Master’s Degree,Freelancer,2–3 times a year,1–2 times a quarter,No Preference,Same day,1,4000–7000,Best amenities,Rarely,Yes,Somewhat Important,Hotel comparison engine,"Airbnb, Booking.com, Others, OYO",Poor UI/UX,Desktop Website,₹0,Definitely,No,Maybe,Amenities,Price,No,AI chatbot
18–24,89278,Bachelor’s Degree,Student,Once a year,Occasionally,City Hotel,1–3 days,3–5,2000–4000,Lowest price,Sometimes,Yes,Neutral,"Real-time price predictions, Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","Booking.com, MakeMyTrip","Poor UI/UX, Prices fluctuate too much, Hidden charges",Travel Agent,Depends on the savings,Unsure,Only if price difference is small,Maybe,Brand name,Reviews,No,AI chatbot
45–54,1743579,PhD or Higher,Student,Once a year,Occasionally,City Hotel,Same day,3–5,<2000,Best amenities,Never,Yes,Neutral,"Hotel comparison engine, Targeted discount alerts, Customer reviews, Personalized stay duration suggestions","Others, OYO",Poor UI/UX,Travel Agent,₹199,Unsure,"Yes, definitely",Maybe,Reviews,Amenities,No,AI chatbot
45–54,534628,Other,Retired,Once a year,1–2 times a quarter,No Preference,1–3 days,6–10,2000–4000,Balanced,Always,Yes,Extremely Important,"Hotel comparison engine, Targeted discount alerts, Personalized stay duration suggestions, Real-time price predictions","MakeMyTrip, Airbnb, Booking.com","Poor UI/UX, Prices fluctuate too much, Limited deals",Mobile App,₹299+,Probably Not,"Yes, definitely",Maybe,Amenities,Brand name,No,Loyalty rewards
35–44,742445,Bachelor’s Degree,Freelancer,Monthly or more,Never,City Hotel,1–3 days,2,7000–10000,Balanced,Rarely,Maybe,Not Important,Customer reviews,Agoda,Prices fluctuate too much,Travel Agent,₹99,Unsure,No,Not Likely,Reviews,Reviews,No,
25–34,1750305,Bachelor’s Degree,Freelancer,Rarely,1–2 times a quarter,City Hotel,Same day,6–10,4000–7000,Lowest price,Sometimes,Yes,Neutral,"Personalized stay duration suggestions, Customer reviews",Agoda,Limited deals,Desktop Website,₹299+,Probably,No,Not Likely,Price,Brand name,No,
25–34,134626,Bachelor’s Degree,Working Professional,Monthly or more,Never,No Preference,1–3 days,2,4000–7000,Lowest price,Rarely,No,Neutral,"Personalized stay duration suggestions, Customer reviews, Hotel comparison engine","OYO, Airbnb, Others",Poor UI/UX,Travel Agent,₹99,Probably Not,Only if price difference is small,Maybe,Amenities,Price,Yes,Early check-in
35–44,93018,PhD or Higher,Other,Every quarter,Weekly,City Hotel,8–14 days,3–5,4000–7000,Balanced,Sometimes,No,Extremely Important,"Hotel comparison engine, Targeted discount alerts, Real-time price predictions",Booking.com,"Limited deals, Booking too late",Travel Agent,₹0,Definitely,Only if price difference is small,Maybe,Reviews,Location,No,
45–54,205492,Master’s Degree,Business Owner,Rarely,Weekly,Resort Hotel,15+ days,2,2000–4000,Best amenities,Rarely,Yes,Not Important,"Hotel comparison engine, Customer reviews, Targeted discount alerts",Others,Lack of transparent pricing,Desktop Website,₹199,Unsure,Only if price difference is small,Maybe,Amenities,Reviews,Yes,Loyalty rewards
45–54,281838,Bachelor’s Degree,Retired,Every quarter,1–2 times a quarter,No Preference,4–7 days,3–5,<2000,Best amenities,Sometimes,Maybe,Somewhat Important,"Customer reviews, Real-time price predictions","OYO, MakeMyTrip, Goibibo","Hidden charges, Prices fluctuate too much",Mobile App,Depends on the savings,Probably,"Yes, definitely",Absolutely,Amenities,Amenities,Yes,Loyalty rewards
45–54,480049,Bachelor’s Degree,Business Owner,Rarely,Weekly,Resort Hotel,1–3 days,2,2000–4000,Lowest price,Always,Yes,Somewhat Important,"Personalized stay duration suggestions, Hotel comparison engine, Customer reviews","OYO, Airbnb, MakeMyTrip","Booking too late, Hidden charges",Mobile App,Depends on the savings,Probably Not,Only if price difference is small,Not Likely,Price,Brand name,Yes,Late check-out
35–44,91385,Master’s Degree,Business Owner,Monthly or more,Monthly,City Hotel,1–3 days,3–5,7000–10000,Lowest price,Sometimes,Maybe,Extremely Important,"Hotel comparison engine, Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","OYO, Goibibo, Agoda, MakeMyTrip","Poor UI/UX, Lack of transparent pricing, Booking too late",Travel Agent,₹199,Probably Not,"Yes, definitely",Absolutely,Reviews,Reviews,Yes,Loyalty rewards
18–24,18680,Bachelor’s Degree,Retired,Once a year,Occasionally,City Hotel,4–7 days,6–10,>10000,Balanced,Never,Maybe,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions, Customer reviews, Real-time price predictions","Agoda, OYO, Others, Booking.com","Poor UI/UX, Limited deals, Prices fluctuate too much",Desktop Website,₹0,Definitely,No,Maybe,Location,Location,No,Loyalty rewards
18–24,545031,Bachelor’s Degree,Freelancer,2–3 times a year,Occasionally,No Preference,1–3 days,3–5,2000–4000,Balanced,Rarely,Yes,Not Important,"Real-time price predictions, Personalized stay duration suggestions, Customer reviews",Others,Lack of transparent pricing,Desktop Website,₹0,Never,"Yes, definitely",Not Likely,Brand name,Amenities,No,
45–54,929496,Master’s Degree,Retired,Once a year,Never,City Hotel,4–7 days,3–5,<2000,Lowest price,Rarely,Yes,Extremely Important,"Customer reviews, Hotel comparison engine, Targeted discount alerts, Personalized stay duration suggestions","Goibibo, Others, MakeMyTrip, Agoda","Limited deals, Poor UI/UX, Prices fluctuate too much",Desktop Website,₹299+,Unsure,No,Maybe,Amenities,Amenities,Yes,Late check-out
35–44,440165,Master’s Degree,Business Owner,Monthly or more,Weekly,No Preference,Same day,6–10,<2000,Balanced,Never,Yes,Extremely Important,Targeted discount alerts,OYO,"Booking too late, Hidden charges, Lack of transparent pricing",Mobile App,₹0,Probably,"Yes, definitely",Absolutely,Amenities,Brand name,No,AI chatbot
Under 18,115235,Master’s Degree,Other,Rarely,Never,No Preference,8–14 days,3–5,2000–4000,Lowest price,Never,Yes,Extremely Important,"Targeted discount alerts, Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","OYO, Booking.com, Others, MakeMyTrip","Poor UI/UX, Limited deals, Prices fluctuate too much",Desktop Website,₹299+,Probably Not,"Yes, definitely",Not Likely,Amenities,Reviews,Yes,
18–24,157183,Master’s Degree,Other,Once a year,Occasionally,No Preference,8–14 days,3–5,4000–7000,Lowest price,Always,Maybe,Not Important,Hotel comparison engine,"OYO, Others","Limited deals, Prices fluctuate too much",Desktop Website,₹99,Unsure,Only if price difference is small,Absolutely,Amenities,Reviews,Yes,Loyalty rewards
35–44,378757,Master’s Degree,Other,Monthly or more,Occasionally,No Preference,15+ days,2,<2000,Best amenities,Rarely,Yes,Extremely Important,"Real-time price predictions, Customer reviews, Personalized stay duration suggestions, Targeted discount alerts","Booking.com, Others, OYO, Agoda",Limited deals,Mobile App,₹199,Probably,No,Not Likely,Brand name,Amenities,Yes,
Under 18,20069,Bachelor’s Degree,Freelancer,Every quarter,Weekly,No Preference,1–3 days,6–10,7000–10000,Lowest price,Always,Yes,Neutral,Real-time price predictions,"Agoda, MakeMyTrip, Booking.com","Booking too late, Prices fluctuate too much, Hidden charges",Desktop Website,₹99,Probably,"Yes, definitely",Maybe,Location,Price,Yes,
18–24,300921,Master’s Degree,Student,2–3 times a year,Monthly,Resort Hotel,15+ days,3–5,2000–4000,Balanced,Rarely,Yes,Not Important,"Targeted discount alerts, Customer reviews, Personalized stay duration suggestions, Real-time price predictions","Agoda, Others, OYO","Poor UI/UX, Prices fluctuate too much",Mobile App,₹99,Probably Not,"Yes, definitely",Not Likely,Price,Amenities,No,Loyalty rewards
35–44,190012,Bachelor’s Degree,Retired,Once a year,Monthly,No Preference,Same day,2,7000–10000,Best amenities,Rarely,Maybe,Neutral,"Targeted discount alerts, Personalized stay duration suggestions, Real-time price predictions","Others, OYO","Booking too late, Prices fluctuate too much",Travel Agent,₹99,Unsure,No,Absolutely,Location,Location,Yes,AI chatbot
35–44,21230,Master’s Degree,Other,Rarely,Weekly,Resort Hotel,8–14 days,2,4000–7000,Best amenities,Always,Yes,Not Important,"Personalized stay duration suggestions, Targeted discount alerts, Real-time price predictions",OYO,Prices fluctuate too much,Travel Agent,₹99,Probably,"Yes, definitely",Absolutely,Brand name,Reviews,No,Loyalty rewards
35–44,2157375,Bachelor’s Degree,Retired,Every quarter,Weekly,City Hotel,Same day,6–10,4000–7000,Balanced,Rarely,Maybe,Neutral,"Personalized stay duration suggestions, Customer reviews",Booking.com,Booking too late,Travel Agent,Depends on the savings,Probably Not,No,Absolutely,Reviews,Brand name,Yes,AI chatbot
25–34,2476,Master’s Degree,Other,Monthly or more,Never,No Preference,Same day,1,4000–7000,Balanced,Rarely,Maybe,Not Important,"Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","OYO, Airbnb",Limited deals,Travel Agent,₹0,Unsure,No,Absolutely,Price,Reviews,No,AI chatbot
35–44,509604,Bachelor’s Degree,Freelancer,2–3 times a year,Weekly,City Hotel,1–3 days,More than 10,4000–7000,Balanced,Always,Maybe,Somewhat Important,"Personalized stay duration suggestions, Hotel comparison engine","OYO, Agoda",Limited deals,Travel Agent,₹199,Unsure,No,Maybe,Price,Amenities,No,AI chatbot
25–34,303246,Bachelor’s Degree,Student,Rarely,Monthly,No Preference,Same day,2,4000–7000,Lowest price,Sometimes,Maybe,Extremely Important,"Customer reviews, Personalized stay duration suggestions, Targeted discount alerts","Others, OYO, Goibibo, Booking.com","Lack of transparent pricing, Booking too late, Hidden charges",Mobile App,₹199,Probably Not,"Yes, definitely",Absolutely,Reviews,Location,No,
25–34,335542,Bachelor’s Degree,Student,Monthly or more,Weekly,Resort Hotel,8–14 days,6–10,4000–7000,Best amenities,Always,Yes,Extremely Important,"Hotel comparison engine, Real-time price predictions, Customer reviews, Targeted discount alerts","Agoda, OYO, Airbnb",Poor UI/UX,Mobile App,₹99,Unsure,"Yes, definitely",Maybe,Amenities,Price,Yes,
35–44,75208,High School,Other,Monthly or more,Never,Resort Hotel,15+ days,3–5,4000–7000,Lowest price,Rarely,Yes,Not Important,"Targeted discount alerts, Real-time price predictions","OYO, MakeMyTrip","Poor UI/UX, Lack of transparent pricing",Mobile App,₹199,Never,Only if price difference is small,Not Likely,Brand name,Reviews,Yes,
35–44,184034,Master’s Degree,Freelancer,Once a year,Never,Resort Hotel,8–14 days,3–5,>10000,Lowest price,Never,Maybe,Neutral,"Customer reviews, Hotel comparison engine, Real-time price predictions",Booking.com,"Booking too late, Prices fluctuate too much",Desktop Website,₹299+,Probably,No,Absolutely,Reviews,Amenities,No,
45–54,112731,Master’s Degree,Working Professional,Once a year,Never,City Hotel,1–3 days,6–10,4000–7000,Lowest price,Sometimes,No,Somewhat Important,"Personalized stay duration suggestions, Customer reviews, Real-time price predictions, Hotel comparison engine",Airbnb,Poor UI/UX,Travel Agent,₹199,Probably,"Yes, definitely",Not Likely,Location,Amenities,No,Late check-out
35–44,1751815,Bachelor’s Degree,Retired,Rarely,Never,No Preference,8–14 days,3–5,4000–7000,Lowest price,Never,Maybe,Neutral,"Personalized stay duration suggestions, Real-time price predictions","MakeMyTrip, Booking.com, Goibibo","Poor UI/UX, Booking too late, Prices fluctuate too much",Desktop Website,₹99,Unsure,"Yes, definitely",Not Likely,Location,Amenities,Yes,Early check-in
35–44,558289,Bachelor’s Degree,Retired,Monthly or more,1–2 times a quarter,City Hotel,4–7 days,3–5,7000–10000,Best amenities,Sometimes,Yes,Extremely Important,Real-time price predictions,"Goibibo, Booking.com, MakeMyTrip","Limited deals, Prices fluctuate too much, Hidden charges",Desktop Website,₹199,Probably Not,No,Maybe,Reviews,Location,No,
18–24,1013015,High School,Business Owner,Once a year,Weekly,Resort Hotel,15+ days,1,2000–4000,Best amenities,Never,Yes,Extremely Important,Customer reviews,"Goibibo, Booking.com, Others, Airbnb","Prices fluctuate too much, Poor UI/UX",Desktop Website,₹0,Definitely,No,Absolutely,Brand name,Amenities,No,Loyalty rewards
25–34,589844,High School,Freelancer,2–3 times a year,Occasionally,City Hotel,4–7 days,1,<2000,Lowest price,Sometimes,No,Neutral,"Real-time price predictions, Targeted discount alerts, Personalized stay duration suggestions, Hotel comparison engine","MakeMyTrip, Airbnb, Others","Booking too late, Limited deals",Travel Agent,₹99,Unsure,No,Maybe,Price,Amenities,No,Late check-out
25–34,1446716,Bachelor’s Degree,Business Owner,2–3 times a year,Weekly,Resort Hotel,4–7 days,2,2000–4000,Balanced,Always,Yes,Not Important,"Targeted discount alerts, Real-time price predictions, Personalized stay duration suggestions","Others, Goibibo","Lack of transparent pricing, Poor UI/UX, Booking too late",Desktop Website,Depends on the savings,Definitely,Only if price difference is small,Absolutely,Price,Amenities,Yes,
25–34,343756,Master’s Degree,Other,Monthly or more,1–2 times a quarter,Resort Hotel,1–3 days,3–5,4000–7000,Best amenities,Sometimes,Yes,Not Important,"Personalized stay duration suggestions, Targeted discount alerts, Real-time price predictions, Hotel comparison engine",OYO,"Poor UI/UX, Prices fluctuate too much",Travel Agent,₹0,Unsure,Only if price difference is small,Not Likely,Amenities,Reviews,Yes,Loyalty rewards
55+,1015916,Bachelor’s Degree,Business Owner,Once a year,Never,Resort Hotel,Same day,2,7000–10000,Lowest price,Sometimes,Yes,Neutral,"Targeted discount alerts, Hotel comparison engine","Goibibo, OYO, Airbnb","Limited deals, Booking too late, Lack of transparent pricing",Travel Agent,₹199,Definitely,Only if price difference is small,Maybe,Brand name,Amenities,Yes,
25–34,15429,Bachelor’s Degree,Student,Rarely,1–2 times a quarter,No Preference,4–7 days,2,2000–4000,Balanced,Sometimes,No,Extremely Important,Customer reviews,"Booking.com, OYO",Booking too late,Travel Agent,Depends on the savings,Unsure,No,Absolutely,Location,Location,Yes,AI chatbot
45–54,584828,Bachelor’s Degree,Retired,Rarely,Monthly,No Preference,8–14 days,3–5,4000–7000,Balanced,Rarely,Yes,Neutral,"Hotel comparison engine, Targeted discount alerts, Personalized stay duration suggestions, Real-time price predictions","Booking.com, Agoda, MakeMyTrip, Airbnb","Lack of transparent pricing, Booking too late",Desktop Website,₹0,Probably Not,"Yes, definitely",Not Likely,Location,Reviews,Yes,Late check-out
35–44,121465,Bachelor’s Degree,Business Owner,Rarely,Monthly,Resort Hotel,Same day,3–5,4000–7000,Lowest price,Never,Yes,Extremely Important,"Targeted discount alerts, Personalized stay duration suggestions","MakeMyTrip, OYO, Agoda, Airbnb",Hidden charges,Travel Agent,₹299+,Definitely,No,Maybe,Amenities,Amenities,Yes,Early check-in
45–54,250325,Bachelor’s Degree,Student,2–3 times a year,Weekly,City Hotel,8–14 days,3–5,<2000,Best amenities,Always,Maybe,Neutral,"Customer reviews, Targeted discount alerts, Hotel comparison engine","Booking.com, Goibibo, Airbnb, MakeMyTrip","Poor UI/UX, Limited deals",Travel Agent,₹0,Never,"Yes, definitely",Maybe,Location,Price,No,Loyalty rewards
25–34,56356,Master’s Degree,Freelancer,Once a year,Weekly,City Hotel,8–14 days,2,4000–7000,Balanced,Never,Yes,Not Important,"Hotel comparison engine, Personalized stay duration suggestions, Real-time price predictions, Customer reviews","Airbnb, Booking.com",Prices fluctuate too much,Mobile App,Depends on the savings,Probably Not,Only if price difference is small,Maybe,Amenities,Location,No,AI chatbot
35–44,3720861,Bachelor’s Degree,Business Owner,Once a year,Occasionally,No Preference,Same day,1,7000–10000,Best amenities,Never,No,Somewhat Important,"Customer reviews, Targeted discount alerts, Real-time price predictions","Others, OYO, Airbnb, Booking.com",Booking too late,Desktop Website,₹299+,Unsure,Only if price difference is small,Maybe,Amenities,Price,No,Loyalty rewards
25–34,1889931,High School,Other,2–3 times a year,Occasionally,Resort Hotel,Same day,6–10,2000–4000,Best amenities,Always,Maybe,Extremely Important,Targeted discount alerts,"Others, Goibibo, Airbnb","Poor UI/UX, Prices fluctuate too much, Hidden charges",Mobile App,₹199,Definitely,Only if price difference is small,Not Likely,Reviews,Location,No,
25–34,1023016,Bachelor’s Degree,Other,Rarely,Monthly,City Hotel,8–14 days,2,4000–7000,Balanced,Rarely,Yes,Somewhat Important,"Personalized stay duration suggestions, Hotel comparison engine, Real-time price predictions, Customer reviews","MakeMyTrip, Goibibo","Booking too late, Lack of transparent pricing, Poor UI/UX",Mobile App,₹99,Probably,"Yes, definitely",Not Likely,Price,Price,No,
35–44,418527,Bachelor’s Degree,Other,Rarely,Never,Resort Hotel,1–3 days,6–10,4000–7000,Lowest price,Sometimes,No,Not Important,"Personalized stay duration suggestions, Real-time price predictions, Targeted discount alerts, Hotel comparison engine","MakeMyTrip, Goibibo, Agoda",Booking too late,Desktop Website,₹199,Probably Not,"Yes, definitely",Not Likely,Brand name,Amenities,No,Late check-out
25–34,1053984,Bachelor’s Degree,Retired,Monthly or more,1–2 times a quarter,City Hotel,15+ days,6–10,2000–4000,Balanced,Rarely,No,Neutral,"Customer reviews, Targeted discount alerts, Real-time price predictions","Booking.com, Goibibo",Limited deals,Mobile App,₹99,Definitely,No,Not Likely,Brand name,Price,Yes,
18–24,198029,Other,Business Owner,Every quarter,Occasionally,No Preference,15+ days,6–10,<2000,Balanced,Rarely,Yes,Not Important,Personalized stay duration suggestions,Airbnb,"Booking too late, Poor UI/UX",Travel Agent,₹99,Probably Not,No,Absolutely,Price,Price,No,
35–44,824728,Master’s Degree,Freelancer,Once a year,Occasionally,Resort Hotel,1–3 days,2,>10000,Best amenities,Sometimes,Yes,Somewhat Important,"Customer reviews, Personalized stay duration suggestions",Booking.com,Limited deals,Mobile App,Depends on the savings,Definitely,No,Not Likely,Brand name,Location,No,Loyalty rewards
25–34,799282,Master’s Degree,Business Owner,Once a year,Never,Resort Hotel,Same day,6–10,2000–4000,Lowest price,Never,No,Not Important,"Personalized stay duration suggestions, Hotel comparison engine, Customer reviews","Airbnb, Booking.com",Limited deals,Mobile App,₹299+,Probably,Only if price difference is small,Maybe,Location,Amenities,Yes,Late check-out
55+,851419,Bachelor’s Degree,Retired,Once a year,Never,City Hotel,8–14 days,6–10,2000–4000,Best amenities,Sometimes,Yes,Not Important,"Targeted discount alerts, Customer reviews","MakeMyTrip, Others, Airbnb","Limited deals, Poor UI/UX",Travel Agent,₹299+,Never,No,Maybe,Location,Location,Yes,AI chatbot
55+,3931678,Bachelor’s Degree,Student,Every quarter,Weekly,City Hotel,15+ days,3–5,2000–4000,Balanced,Always,No,Neutral,"Real-time price predictions, Targeted discount alerts, Customer reviews, Personalized stay duration suggestions","Agoda, Airbnb, Others, Goibibo",Poor UI/UX,Mobile App,₹0,Probably,Only if price difference is small,Maybe,Brand name,Amenities,No,AI chatbot
45–54,196214,Bachelor’s Degree,Retired,Monthly or more,1–2 times a quarter,City Hotel,8–14 days,2,4000–7000,Lowest price,Sometimes,No,Somewhat Important,Targeted discount alerts,"Airbnb, MakeMyTrip, Booking.com, Others",Limited deals,Travel Agent,₹199,Unsure,"Yes, definitely",Maybe,Reviews,Brand name,No,Loyalty rewards
25–34,252233,Master’s Degree,Other,Every quarter,Never,Resort Hotel,1–3 days,2,4000–7000,Lowest price,Never,Yes,Somewhat Important,"Targeted discount alerts, Personalized stay duration suggestions, Real-time price predictions","OYO, MakeMyTrip, Others, Agoda","Poor UI/UX, Limited deals",Desktop Website,Depends on the savings,Probably Not,Only if price difference is small,Absolutely,Brand name,Reviews,No,AI chatbot
Under 18,245967,Master’s Degree,Student,Rarely,Occasionally,No Preference,8–14 days,2,4000–7000,Lowest price,Rarely,No,Somewhat Important,"Real-time price predictions, Hotel comparison engine","Airbnb, Goibibo",Prices fluctuate too much,Mobile App,₹199,Never,Only if price difference is small,Maybe,Amenities,Reviews,Yes,AI chatbot
55+,135605,Bachelor’s Degree,Other,Rarely,Occasionally,No Preference,1–3 days,3–5,<2000,Lowest price,Rarely,Yes,Extremely Important,"Real-time price predictions, Targeted discount alerts, Customer reviews","MakeMyTrip, Agoda, Goibibo",Prices fluctuate too much,Desktop Website,₹0,Probably Not,Only if price difference is small,Maybe,Amenities,Location,Yes,Late check-out
25–34,128912,Bachelor’s Degree,Working Professional,Once a year,Monthly,City Hotel,Same day,3–5,7000–10000,Lowest price,Sometimes,Maybe,Not Important,"Targeted discount alerts, Hotel comparison engine","Booking.com, Goibibo","Limited deals, Prices fluctuate too much",Mobile App,₹0,Definitely,"Yes, definitely",Maybe,Price,Amenities,Yes,Loyalty rewards
55+,462474,Bachelor’s Degree,Retired,2–3 times a year,Never,No Preference,1–3 days,3–5,2000–4000,Balanced,Always,Yes,Somewhat Important,"Real-time price predictions, Targeted discount alerts","Goibibo, OYO","Hidden charges, Limited deals",Travel Agent,Depends on the savings,Unsure,"Yes, definitely",Not Likely,Location,Price,Yes,Loyalty rewards
55+,483121,Master’s Degree,Retired,Once a year,Weekly,City Hotel,1–3 days,3–5,2000–4000,Balanced,Never,No,Not Important,Targeted discount alerts,"Airbnb, OYO, Agoda, Others","Hidden charges, Limited deals",Mobile App,₹0,Unsure,No,Not Likely,Reviews,Reviews,No,Early check-in
45–54,238845,Master’s Degree,Freelancer,2–3 times a year,1–2 times a quarter,No Preference,15+ days,3–5,2000–4000,Balanced,Rarely,Maybe,Neutral,"Customer reviews, Targeted discount alerts, Hotel comparison engine, Personalized stay duration suggestions",MakeMyTrip,"Booking too late, Lack of transparent pricing, Hidden charges",Desktop Website,Depends on the savings,Probably Not,No,Absolutely,Brand name,Location,No,AI chatbot
